epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.784,1.36101,1.65499,1.29154,0.78777,0.63752,0.72499,0.54423,1.00594,0.92913,1.04976,0.00333208,0.00333208,0.00333208
2,481.151,1.16162,0.98605,1.13578,0.81402,0.66603,0.75453,0.57294,0.93995,0.81031,1.03079,0.00659943,0.00659943,0.00659943
3,701.555,1.07702,0.95135,1.11187,0.88,0.76232,0.84552,0.63525,0.90935,0.71639,1.0033,0.00980077,0.00980077,0.00980077
4,921.138,1.04995,0.92171,1.10942,0.89779,0.81164,0.89314,0.69986,0.78284,0.59587,0.95539,0.009703,0.009703,0.009703
5,1139.12,0.96541,0.81189,1.06818,0.92496,0.8459,0.91877,0.7304,0.73107,0.52371,0.93255,0.009604,0.009604,0.009604
6,1356.99,0.90796,0.73881,1.0398,0.94684,0.88697,0.94374,0.77194,0.67406,0.46127,0.90599,0.009505,0.009505,0.009505
7,1588.32,0.8718,0.69543,1.02495,0.95491,0.90409,0.95581,0.79166,0.63884,0.42155,0.88636,0.009406,0.009406,0.009406
8,1810.36,0.84224,0.66058,1.01492,0.9599,0.91176,0.96321,0.8056,0.61097,0.39641,0.87753,0.009307,0.009307,0.009307
9,2029.25,0.81642,0.6306,1.00052,0.96758,0.9231,0.96607,0.81968,0.57986,0.37529,0.86572,0.009208,0.009208,0.009208
10,2243.28,0.80268,0.61429,0.9933,0.9661,0.9353,0.97079,0.82823,0.56821,0.3616,0.86089,0.009109,0.009109,0.009109
11,2459.55,0.7903,0.60028,0.98727,0.96704,0.93909,0.97354,0.82347,0.59401,0.35816,0.86986,0.00901,0.00901,0.00901
12,2674.63,0.77423,0.58036,0.97926,0.97139,0.94589,0.97706,0.84728,0.53614,0.33266,0.84988,0.008911,0.008911,0.008911
13,2891.41,0.76364,0.56912,0.97567,0.96975,0.95607,0.97948,0.85472,0.52906,0.3225,0.84756,0.008812,0.008812,0.008812
14,3111.38,0.75721,0.5618,0.9716,0.97048,0.95732,0.98047,0.85912,0.51783,0.31421,0.84372,0.008713,0.008713,0.008713
15,3326.28,0.73906,0.54626,0.96576,0.97418,0.95865,0.98202,0.86291,0.50587,0.30555,0.83841,0.008614,0.008614,0.008614
16,3541.02,0.73477,0.53907,0.9612,0.97562,0.96113,0.98278,0.87058,0.48591,0.29696,0.83433,0.008515,0.008515,0.008515
17,3777.9,0.73104,0.53458,0.96073,0.97708,0.9614,0.9827,0.87391,0.48046,0.29239,0.83248,0.008416,0.008416,0.008416
18,4083.29,0.72319,0.52829,0.9571,0.97715,0.96402,0.98343,0.87515,0.4761,0.28783,0.83085,0.008317,0.008317,0.008317
19,4397.78,0.71562,0.51859,0.95405,0.9807,0.96319,0.98412,0.87728,0.473,0.28421,0.8294,0.008218,0.008218,0.008218
20,4643.17,0.71065,0.51468,0.95144,0.97969,0.96568,0.98483,0.87903,0.46871,0.28098,0.82805,0.008119,0.008119,0.008119
21,4885.65,0.70633,0.51201,0.95225,0.98145,0.96666,0.98513,0.88231,0.46216,0.27795,0.82677,0.00802,0.00802,0.00802
22,5126.77,0.6965,0.49784,0.94684,0.98021,0.96689,0.98524,0.88457,0.45734,0.2754,0.82598,0.007921,0.007921,0.007921
23,5364.24,0.69089,0.49297,0.94181,0.98068,0.96792,0.98546,0.88623,0.45338,0.27313,0.8252,0.007822,0.007822,0.007822
24,5604.37,0.69276,0.49386,0.94561,0.98061,0.9685,0.9855,0.88668,0.45196,0.271,0.82463,0.007723,0.007723,0.007723
25,5850.53,0.67794,0.48163,0.93858,0.98077,0.96818,0.98569,0.88733,0.45162,0.26977,0.8243,0.007624,0.007624,0.007624
26,6084.33,0.6791,0.48106,0.93811,0.98182,0.96911,0.98599,0.88865,0.44924,0.26771,0.82365,0.007525,0.007525,0.007525
27,6318.47,0.6728,0.475,0.93493,0.98214,0.96883,0.98613,0.88948,0.44714,0.26641,0.82307,0.007426,0.007426,0.007426
28,6579.44,0.67588,0.47667,0.93869,0.98218,0.96899,0.98611,0.89068,0.44448,0.26508,0.82255,0.007327,0.007327,0.007327
29,6827.42,0.66763,0.46898,0.93381,0.98187,0.96956,0.98655,0.89175,0.44255,0.26351,0.82203,0.007228,0.007228,0.007228
30,7066.57,0.66677,0.46837,0.93231,0.98086,0.97084,0.98673,0.89255,0.4405,0.2624,0.82145,0.007129,0.007129,0.007129
31,7307.61,0.66508,0.4657,0.93225,0.9817,0.97013,0.98682,0.89366,0.43877,0.26112,0.82088,0.00703,0.00703,0.00703
32,7543.46,0.65957,0.46278,0.92928,0.98139,0.97066,0.98688,0.89393,0.43703,0.2603,0.8203,0.006931,0.006931,0.006931
33,7780.99,0.65743,0.45956,0.92858,0.98155,0.97094,0.98701,0.89438,0.43603,0.25938,0.81982,0.006832,0.006832,0.006832
34,8005.62,0.64898,0.45046,0.926,0.98188,0.97114,0.98681,0.89512,0.43388,0.25833,0.81937,0.006733,0.006733,0.006733
35,8248.87,0.647,0.44996,0.92586,0.98298,0.97017,0.98705,0.89581,0.43166,0.25709,0.81881,0.006634,0.006634,0.006634
36,8490.12,0.64396,0.44744,0.92349,0.98298,0.9704,0.98724,0.8967,0.4296,0.25618,0.81835,0.006535,0.006535,0.006535
37,8736.24,0.63998,0.44281,0.92124,0.98362,0.97057,0.98733,0.89718,0.4284,0.2554,0.81799,0.006436,0.006436,0.006436
38,8989.44,0.64172,0.44395,0.92292,0.98327,0.9707,0.98747,0.89783,0.42662,0.2545,0.81758,0.006337,0.006337,0.006337
39,9249.82,0.63376,0.43453,0.91758,0.98421,0.97081,0.98768,0.89807,0.42545,0.25353,0.81717,0.006238,0.006238,0.006238
40,9507.52,0.63388,0.43597,0.91662,0.98426,0.97167,0.98796,0.89851,0.42446,0.25263,0.81676,0.006139,0.006139,0.006139
